Frequency  	Phase      
22927228.67 	-91.7182624 
22978841.26 	-91.7226226 
23030570.04 	-91.7269915 
23082415.27 	-91.7313693 
23134377.21 	-91.7357559 
23186456.12 	-91.7401513 
23238652.27 	-91.7445556 
23290965.92 	-91.7489689 
23343397.34 	-91.753391  
23395946.79 	-91.7578221 
23448614.54 	-91.7622622 
23501400.85 	-91.7667112 
23554305.98 	-91.7711693 
23607330.22 	-91.7756364 
23660473.82 	-91.7801126 
23713737.06 	-91.7845979 
23767120.2  	-91.7890923 
23820623.51 	-91.7935958 
23874247.26 	-91.7981084 
23927991.73 	-91.8026303 
23981857.19 	-91.8071613 
24035843.91 	-91.8117016 
24089952.16 	-91.8162511 
24144182.21 	-91.8208099 
24198534.35 	-91.825378  
24253008.84 	-91.8299555 
24307605.96 	-91.8345422 
24362325.98 	-91.8391383 
24417169.19 	-91.8437439 
24472135.86 	-91.8483588 
24527226.27 	-91.8529832 
24582440.69 	-91.857617  
24637779.41 	-91.8622604 
24693242.7  	-91.8669132 
24748830.85 	-91.8715756 
24804544.14 	-91.8762476 
24860382.85 	-91.8809291 
24916347.26 	-91.8856202 
24972437.65 	-91.890321  
25028654.31 	-91.8950314 
25084997.52 	-91.8997515 
25141467.57 	-91.9044814 
25198064.75 	-91.9092209 
25254789.33 	-91.9139702 
25311641.6  	-91.9187293 
25368621.86 	-91.9234982 
25425730.39 	-91.928277  
25482967.48 	-91.9330656 
25540333.42 	-91.937864  
25597828.5  	-91.9426724 
25655453    	-91.9474907 
25713207.23 	-91.952319  
25771091.48 	-91.9571572 
25829106.02 	-91.9620055 
25887251.17 	-91.9668638 
25945527.21 	-91.9717321 
26003934.44 	-91.9766105 
26062473.16 	-91.9814991 
26121143.65 	-91.9863977 
26179946.22 	-91.9913066 
26238881.16 	-91.9962256 
26297948.77 	-92.0011548 
26357149.35 	-92.0060942 
26416483.2  	-92.011044  
26475950.62 	-92.016004  
26535551.92 	-92.0209743 
26595287.38 	-92.0259549 
26655157.31 	-92.030946  
26715162.03 	-92.0359474 
26775301.82 	-92.0409592 
26835576.99 	-92.0459815 
26895987.86 	-92.0510142 
26956534.71 	-92.0560575 
27017217.87 	-92.0611112 
27078037.63 	-92.0661756 
27138994.31 	-92.0712505 
27200088.21 	-92.0763359 
27261319.64 	-92.0814321 
27322688.92 	-92.0865388 
27384196.34 	-92.0916563 
27445842.23 	-92.0967845 
27507626.89 	-92.1019234 
27569550.64 	-92.107073  
27631613.78 	-92.1122335 
27693816.64 	-92.1174048 
27756159.53 	-92.1225869 
27818642.76 	-92.1277799 
27881266.65 	-92.1329838 
27944031.52 	-92.1381986 
28006937.68 	-92.1434243 
28069985.45 	-92.1486611 
28133175.15 	-92.1539088 
28196507.1  	-92.1591676 
28259981.62 	-92.1644375 
28323599.03 	-92.1697184 
28387359.65 	-92.1750105 
28451263.8  	-92.1803137 
28515311.82 	-92.1856281 
28579504.01 	-92.1909536 
28643840.71 	-92.1962904 
28708322.25 	-92.2016385 
28772948.94 	-92.2069979 
28837721.11 	-92.2123685 
28902639.1  	-92.2177505 
28967703.23 	-92.2231439 
29032913.82 	-92.2285487 
29098271.22 	-92.2339649 
29163775.74 	-92.2393925 
29229427.72 	-92.2448317 
29295227.5  	-92.2502823 
29361175.4  	-92.2557445 
29427271.76 	-92.2612183 
29493516.91 	-92.2667036 
29559911.19 	-92.2722006 
