Freq,Value
966970000.0,-139.487008
969980000.0,-139.806313
972980000.0,-141.28052
975980000.0,-146.334499
978990000.0,-153.636684
981990000.0,-148.455954
984990000.0,-158.759966
987990000.0,-146.9811
991000000.0,-153.613599
994000000.0,-153.307615
997000000.0,-168.423922
1000010000.0,-145.096148
1003010000.0,-145.594063
1006010000.0,-145.002701
1009020000.0,-160.054862
1012020000.0,-140.522789
1015020000.0,-139.57089
1018020000.0,-142.630355
1021030000.0,-137.129218
1024030000.0,-128.88901
1027030000.0,-128.566997
1030040000.0,-126.231668
1033040000.0,-116.30393
1036040000.0,-116.517727
1039050000.0,-108.459045
1042050000.0,-103.470888
1045050000.0,-103.184886
1048050000.0,-104.562011
1051060000.0,-103.310501
1054060000.0,-98.4571193
1057060000.0,-105.226152
1060070000.0,-106.328214
1063070000.0,-112.119733
1066070000.0,-119.283364
1069080000.0,-125.953577
1072080000.0,-124.472772
1075080000.0,-128.75342
1078080000.0,-132.60553
1081090000.0,-146.995679
1084090000.0,-136.636235
1087090000.0,-136.370096
1090100000.0,-144.459024
1093100000.0,-141.130438
1096100000.0,-142.797175
1099110000.0,-149.268008
1102110000.0,-154.406693
1105110000.0,-162.557032
1108110000.0,-152.476135
1111120000.0,-154.072521
1114120000.0,-153.688274
1117120000.0,-152.867562
1120130000.0,-162.295631
1123130000.0,-157.077506
1126130000.0,-153.515613
1129140000.0,-145.137187
1132140000.0,-137.976037
1135140000.0,-129.203386
1138140000.0,-135.670845
1141150000.0,-135.127718
1144150000.0,-124.578305
1147150000.0,-133.11755
1150160000.0,-128.762338
1153160000.0,-124.124195
1156160000.0,-128.117539
1159170000.0,-139.994698
1162170000.0,-129.776442
1165170000.0,-137.680824
1168170000.0,-135.441344
1171180000.0,-160.397999
1174180000.0,-144.524915
1177180000.0,-153.802733
1180190000.0,-160.112896
1183190000.0,-150.378788
1186190000.0,-149.131209
1189200000.0,-158.883314
1192200000.0,-147.632986
1195200000.0,-157.608162
1198200000.0,-161.469254
1201210000.0,-153.270984
1204210000.0,-154.265289
1207210000.0,-164.274103
1210220000.0,-159.086864
1213220000.0,-152.004257
1216220000.0,-151.995697
1219230000.0,-145.325249
1222230000.0,-151.532752
1225230000.0,-145.395029
1228230000.0,-151.639942
1231240000.0,-139.407419
1234240000.0,-151.506667
1237240000.0,-134.973612
1240250000.0,-134.888126
1243250000.0,-137.095634
1246250000.0,-126.733992
1249260000.0,-128.924995
1252260000.0,-139.998346
1255260000.0,-126.230846
1258260000.0,-132.769092
1261270000.0,-134.502066
1264270000.0,-144.250695
1267270000.0,-156.533476
1270280000.0,-155.258094
1273280000.0,-143.723653
