Freq,Value
1053078964.0,-39.7446453
1057825574.0,-39.964835
1062593580.0,-40.1839254
1067383076.0,-40.401937
1072194160.0,-40.6188897
1077026930.0,-40.8348032
1081881483.0,-41.0496965
1086757917.0,-41.2635882
1091656330.0,-41.4764966
1096576823.0,-41.6884393
1101519494.0,-41.8994339
1106484444.0,-42.1094974
1111471772.0,-42.3186462
1116481580.0,-42.5268968
1121513970.0,-42.734265
1126569041.0,-42.9407664
1131646899.0,-43.1464161
1136747643.0,-43.3512292
1141871379.0,-43.55522
1147018209.0,-43.7584031
1152188238.0,-43.9607922
1157381570.0,-44.1624012
1162598311.0,-44.3632433
1167838565.0,-44.5633318
1173102438.0,-44.7626794
1175743266.0,-44.8620794
1181042769.0,-45.0603393
1186366159.0,-45.2578895
1191713543.0,-45.4547418
1197085030.0,-45.650908
1202480729.0,-45.8463997
1207900747.0,-46.0412281
1210619911.0,-46.138397
1216076616.0,-46.3322512
1221557916.0,-46.5254693
1227063923.0,-46.7180619
1232594747.0,-46.9100394
1235369500.0,-47.0058007
1240937761.0,-47.1968745
1246531119.0,-47.3873581
1252149689.0,-47.5772613
1257793584.0,-47.7665936
1260625064.0,-47.8610485
1266307160.0,-48.0495418
1272014868.0,-48.2374871
1277748302.0,-48.4248933
1280624703.0,-48.518397
1286396945.0,-48.705011
1292195205.0,-48.8911076
1298019599.0,-49.0766949
1300941634.0,-49.1693003
1306805451.0,-49.3541393
1312695700.0,-49.5384895
1315650772.0,-49.6304837
1321580890.0,-49.8141152
1327537736.0,-49.9972772
1330526220.0,-50.0886845
1336523387.0,-50.2711563
1342547584.0,-50.4531771
1345569858.0,-50.5440206
1351634832.0,-50.7253785
1357727142.0,-50.9063031
1360783587.0,-50.9966051
1366917135.0,-51.1768928
1369994268.0,-51.2668801
1376169331.0,-51.446546
1382372227.0,-51.6258056
1385484152.0,-51.715285
1391729034.0,-51.8939471
1394862022.0,-51.9831314
1401149174.0,-52.1612102
1407464663.0,-52.3389078
1410633075.0,-52.4276155
1416991312.0,-52.6047526
1420181170.0,-52.6931834
1426582444.0,-52.8697732
1429793892.0,-52.9579336
1436238494.0,-53.133989
1442712144.0,-53.3096951
1445959903.0,-53.3974189
1452477371.0,-53.5726115
1455747113.0,-53.6600815
1462308696.0,-53.8347726
1465600569.0,-53.9219949
1472206565.0,-54.0961963
1475520720.0,-54.1831766
1482171429.0,-54.3568999
1485508017.0,-54.443644
1492203743.0,-54.6169003
1495562915.0,-54.7034137
1502303962.0,-54.8762141
1505685871.0,-54.9625022
1512472545.0,-55.1348574
1515877345.0,-55.2209256
1519289810.0,-55.3069216
1526137803.0,-55.4786994
1529573365.0,-55.5644824
1536467709.0,-55.735839
1539926526.0,-55.8214139
1546867536.0,-55.9923594
1550349764.0,-56.0777311
1557337755.0,-56.248275
1560843553.0,-56.3334483
1564357244.0,-56.4185565
1571408372.0,-56.5885797
1574945845.0,-56.6734958
1582044699.0,-56.8431392
1585606117.0,-56.9278676
1589175551.0,-57.0125345
1596338544.0,-57.1816854
1599932139.0,-57.2661705
1607143616.0,-57.4349623
1610761535.0,-57.5192699
1614387598.0,-57.6035194
1621664231.0,-57.7718454
1625314837.0,-57.855923
1628973662.0,-57.9399441
1636316040.0,-58.1078191
1639999630.0,-58.1916738
1647391705.0,-58.3592198
1651100228.0,-58.442912
1654817100.0,-58.5265509
1662275963.0,-58.6936705
1666017993.0,-58.777152
1669768447.0,-58.8605818
1677294701.0,-59.0272884
1681070540.0,-59.1105659
1684854879.0,-59.1937934
1688647738.0,-59.2769713
1696259088.0,-59.4431799
1700077619.0,-59.5262114
1703904746.0,-59.6091949
1711584865.0,-59.7750194
1715437896.0,-59.8578612
1719299601.0,-59.9406565
1727049111.0,-60.1061091
1730936955.0,-60.1887672
1734833550.0,-60.2713803
1738738918.0,-60.3539487
1746576048.0,-60.5189531
1750507849.0,-60.6013897
1754448502.0,-60.6837832
1758398026.0,-60.7661338
1766323766.0,-60.9307078
1770300023.0,-61.0129319
1774285231.0,-61.0951145
1778279410.0,-61.177256
1786294763.0,-61.3414168
1790315977.0,-61.4234368
1794346244.0,-61.5054171
1798385584.0,-61.5873578
1806491563.0,-61.751122
1810558243.0,-61.8329462
1814634078.0,-61.9147321
1818719089.0,-61.9964801
1826916718.0,-62.1598637
1831029378.0,-62.2414999
1835151297.0,-62.3230994
1839282495.0,-62.4046625
1843422992.0,-62.4861895
1851731971.0,-62.6491366
1855900495.0,-62.7305572
1860078402.0,-62.8119429
1864265714.0,-62.893294
1868462453.0,-62.9746108
1876884294.0,-63.1371426
1881109438.0,-63.2183581
1885344095.0,-63.2995404
1889588284.0,-63.3806898
1893842027.0,-63.4618066
1898105347.0,-63.542891
1906660799.0,-63.7049637
1910952975.0,-63.7859526
1915254813.0,-63.8669102
1919566336.0,-63.9478367
1923887565.0,-64.0287324
1928218521.0,-64.1095977
1936909704.0,-64.2712376
1941269975.0,-64.3520128
1945640062.0,-64.4327584
1950019986.0,-64.5134749
1954409770.0,-64.5941623
1958809436.0,-64.6748209
1963219007.0,-64.755451
1967638504.0,-64.8360528
1976507367.0,-64.9971726
1980956779.0,-65.077691
1985416206.0,-65.158182
1989885672.0,-65.238646
