Freq,Value
1851731971.0,-673.065516
1855900495.0,-673.148114
1860078402.0,-673.230619
1864265714.0,-673.31303
1868462453.0,-673.395348
1876884294.0,-673.559703
1881109438.0,-673.641741
1885344095.0,-673.723685
1889588284.0,-673.805536
1893842027.0,-673.887294
1898105347.0,-673.968959
1906660799.0,-674.132009
1910952975.0,-674.213394
1915254813.0,-674.294687
1919566336.0,-674.375887
1923887565.0,-674.456993
1928218521.0,-674.538007
1936909704.0,-674.699756
1941269975.0,-674.780491
1945640062.0,-674.861134
1950019986.0,-674.941684
1954409770.0,-675.022141
1958809436.0,-675.102505
1963219007.0,-675.182777
1967638504.0,-675.262956
1976507367.0,-675.423036
1980956779.0,-675.502937
1985416206.0,-675.582745
1989885672.0,-675.662461
1994365200.0,-675.742084
1998854812.0,-675.821615
2003354530.0,-675.901053
2007864379.0,-675.980399
2012384379.0,-676.059652
2021454928.0,-676.21788
2026005523.0,-676.296855
2030566362.0,-676.375738
2035137468.0,-676.454528
2039718864.0,-676.533226
2044310574.0,-676.611831
2048912620.0,-676.690344
2053525026.0,-676.768764
2058147816.0,-676.847091
2062781012.0,-676.925326
2067424638.0,-677.003468
2076743274.0,-677.159475
2081418331.0,-677.237339
2086103912.0,-677.315111
2090800041.0,-677.392791
2095506742.0,-677.470377
2100224039.0,-677.547871
2104951954.0,-677.625272
2109690513.0,-677.702581
2114439740.0,-677.779797
2119199657.0,-677.85692
2123970290.0,-677.933951
2128751662.0,-678.010889
2133543797.0,-678.087734
2138346721.0,-678.164486
2143160457.0,-678.241145
2147985029.0,-678.317712
2152820461.0,-678.394186
2157666779.0,-678.470567
2162524007.0,-678.546855
2167392170.0,-678.62305
2172271291.0,-678.699152
2177161396.0,-678.775161
2182062509.0,-678.851078
2186974655.0,-678.926901
2191897859.0,-679.002631
2196832146.0,-679.078269
2201777541.0,-679.153813
2206734069.0,-679.229264
2211701755.0,-679.304622
2216680623.0,-679.379887
2221670700.0,-679.455059
2226672010.0,-679.530138
2231684579.0,-679.605123
2236708432.0,-679.680015
2241743595.0,-679.754814
2246790092.0,-679.82952
2251847949.0,-679.904132
2256917193.0,-679.978651
2261997848.0,-680.053077
2267089941.0,-680.127409
2272193497.0,-680.201648
2277308541.0,-680.275793
2282435100.0,-680.349845
2287573200.0,-680.423803
2292722867.0,-680.497668
2297884126.0,-680.571439
2303057004.0,-680.645117
2308241527.0,-680.718701
2313437721.0,-680.792191
2318645612.0,-680.865588
2323865227.0,-680.938891
2329096592.0,-681.0121
2334339734.0,-681.085216
2339594679.0,-681.158237
2344861454.0,-681.231165
2350140085.0,-681.303999
2355430598.0,-681.376739
2360733022.0,-681.449385
2366047382.0,-681.521937
2366047382.0,-681.521937
2371373706.0,-681.594395
2376712020.0,-681.66676
2382062351.0,-681.73903
2387424726.0,-681.811206
2392799173.0,-681.883288
2398185719.0,-681.955275
2403584391.0,-682.027169
2408995216.0,-682.098969
2414418221.0,-682.170674
2419853435.0,-682.242285
2425300884.0,-682.313801
2430760596.0,-682.385224
2436232598.0,-682.456552
2436232598.0,-682.456552
2441716919.0,-682.527786
2447213586.0,-682.598925
2452722627.0,-682.66997
2458244069.0,-682.74092
2463777941.0,-682.811776
2469324270.0,-682.882538
2474883085.0,-682.953205
2480454414.0,-683.023777
2486038285.0,-683.094255
2486038285.0,-683.094255
2491634726.0,-683.164638
2497243765.0,-683.234927
2502865431.0,-683.305121
2508499752.0,-683.37522
2514146757.0,-683.445225
2519806475.0,-683.515134
2525478933.0,-683.584949
2525478933.0,-683.584949
2531164160.0,-683.65467
2536862186.0,-683.724295
2542573039.0,-683.793825
2548296748.0,-683.863261
2554033342.0,-683.932602
2559782850.0,-684.001848
2565545300.0,-684.070999
2565545300.0,-684.070999
2571320723.0,-684.140055
2577109148.0,-684.209016
2582910602.0,-684.277882
2588725117.0,-684.346653
2594552721.0,-684.415329
2600393444.0,-684.48391
2600393444.0,-684.48391
2606247316.0,-684.552396
2612114365.0,-684.620786
2617994622.0,-684.689082
2623888116.0,-684.757283
2629794877.0,-684.825388
2635714935.0,-684.893398
2635714935.0,-684.893398
2641648320.0,-684.961313
2647595062.0,-685.029132
2653555192.0,-685.096857
2659528738.0,-685.164486
2665515731.0,-685.23202
2665515731.0,-685.23202
2671516203.0,-685.299459
2677530182.0,-685.366802
2683557699.0,-685.43405
2689598786.0,-685.501202
2695653471.0,-685.56826
2695653471.0,-685.56826
2701721787.0,-685.635222
2707803763.0,-685.702088
2713899431.0,-685.768859
2720008821.0,-685.835535
2720008821.0,-685.835535
2726131964.0,-685.902115
2732268892.0,-685.9686
2738419634.0,-686.03499
2744584223.0,-686.101284
2744584223.0,-686.101284
2750762689.0,-686.167482
2756955064.0,-686.233585
2763161378.0,-686.299593
2769381664.0,-686.365505
2775615953.0,-686.431321
2775615953.0,-686.431321
2781864276.0,-686.497042
2788126665.0,-686.562668
2794403152.0,-686.628198
2794403152.0,-686.628198
2800693768.0,-686.693632
2806998545.0,-686.758971
2813317515.0,-686.824215
2819650710.0,-686.889362
2819650710.0,-686.889362
2825998162.0,-686.954415
2832359903.0,-687.019371
2838735965.0,-687.084232
2845126380.0,-687.148998
2845126380.0,-687.148998
2851531182.0,-687.213668
2857950401.0,-687.278242
2864384071.0,-687.342721
2864384071.0,-687.342721
2870832225.0,-687.407104
2877294894.0,-687.471392
2883772111.0,-687.535584
2890263910.0,-687.59968
2890263910.0,-687.59968
2896770323.0,-687.663681
2903291382.0,-687.727586
2909827122.0,-687.791396
2909827122.0,-687.791396
2916377574.0,-687.85511
2922942772.0,-687.918729
2929522750.0,-687.982252
2929522750.0,-687.982252
2936117540.0,-688.045679
2942727176.0,-688.109011
2949351691.0,-688.172247
2949351691.0,-688.172247
2955991119.0,-688.235388
2962645494.0,-688.298433
2969314848.0,-688.361383
2969314848.0,-688.361383
2975999216.0,-688.424237
2982698632.0,-688.486996
2989413129.0,-688.549659
2989413129.0,-688.549659
2996142741.0,-688.612226
3002887503.0,-688.674698
3009647448.0,-688.737075
3009647448.0,-688.737075
3016422610.0,-688.799356
3023213025.0,-688.861541
3030018726.0,-688.923631
3030018726.0,-688.923631
3036839747.0,-688.985626
3043676124.0,-689.047525
3043676124.0,-689.047525
3050527890.0,-689.109329
3057395081.0,-689.171038
3064277731.0,-689.232651
3064277731.0,-689.232651
3071175874.0,-689.294168
3078089547.0,-689.35559
3085018783.0,-689.416917
3085018783.0,-689.416917
3091963617.0,-689.478149
3098924086.0,-689.539285
3098924086.0,-689.539285
3105900224.0,-689.600326
3112892066.0,-689.661272
3119899647.0,-689.722122
3119899647.0,-689.722122
3126923004.0,-689.782877
3133962171.0,-689.843537
3133962171.0,-689.843537
3141017185.0,-689.904102
3148088080.0,-689.964572
3148088080.0,-689.964572
3155174894.0,-690.024946
3162277660.0,-690.085225
3169396416.0,-690.145409
3169396416.0,-690.145409
3176531197.0,-690.205499
3183682040.0,-690.265493
3183682040.0,-690.265493
3190848981.0,-690.325391
3198032055.0,-690.385195
3198032055.0,-690.385195
3205231299.0,-690.444904
3212446750.0,-690.504518
3219678444.0,-690.564037
3219678444.0,-690.564037
3226926418.0,-690.623461
3234190708.0,-690.682791
3234190708.0,-690.682791
3241471351.0,-690.742025
3248768383.0,-690.801164
3248768383.0,-690.801164
3256081843.0,-690.860209
3263411766.0,-690.919159
3263411766.0,-690.919159
3270758190.0,-690.978014
3278121151.0,-691.036775
3278121151.0,-691.036775
3285500688.0,-691.09544
3292896837.0,-691.154012
3292896837.0,-691.154012
3300309637.0,-691.212488
3307739123.0,-691.27087
3307739123.0,-691.27087
3315185334.0,-691.329158
3322648308.0,-691.38735
3322648308.0,-691.38735
3330128082.0,-691.445449
3337624694.0,-691.503453
3337624694.0,-691.503453
3345138182.0,-691.561362
3352668585.0,-691.619178
3352668585.0,-691.619178
3360215939.0,-691.676898
3367780283.0,-691.734525
3367780283.0,-691.734525
3375361656.0,-691.792057
3382960096.0,-691.849495
3382960096.0,-691.849495
3390575640.0,-691.906839
3398208329.0,-691.964089
3398208329.0,-691.964089
3405858200.0,-692.021245
3413525292.0,-692.078306
3413525292.0,-692.078306
3421209643.0,-692.135274
3428911294.0,-692.192147
3428911294.0,-692.192147
3436630281.0,-692.248927
3444366646.0,-692.305613
3444366646.0,-692.305613
3452120426.0,-692.362204
3452120426.0,-692.362204
3459891661.0,-692.418703
3467680390.0,-692.475107
3467680390.0,-692.475107
3475486653.0,-692.531418
3483310489.0,-692.587634
3483310489.0,-692.587634
3491151937.0,-692.643758
3499011038.0,-692.699787
3499011038.0,-692.699787
3506887831.0,-692.755724
3506887831.0,-692.755724
3514782355.0,-692.811566
3522694651.0,-692.867316
3522694651.0,-692.867316
3530624760.0,-692.922972
3538572719.0,-692.978534
3538572719.0,-692.978534
3546538571.0,-693.034003
3546538571.0,-693.034003
3554522356.0,-693.089379
3562524113.0,-693.144662
3562524113.0,-693.144662
3570543883.0,-693.199852
3578581706.0,-693.254949
3578581706.0,-693.254949
3586637624.0,-693.309952
3586637624.0,-693.309952
3594711678.0,-693.364863
3602803907.0,-693.41968
3602803907.0,-693.41968
3610914353.0,-693.474405
3619043056.0,-693.529037
3619043056.0,-693.529037
3627190059.0,-693.583577
3627190059.0,-693.583577
3635355402.0,-693.638023
3643539126.0,-693.692377
3643539126.0,-693.692377
3651741273.0,-693.746638
3651741273.0,-693.746638
3659961884.0,-693.800807
3668201001.0,-693.854883
3668201001.0,-693.854883
3676458665.0,-693.908867
3676458665.0,-693.908867
3684734919.0,-693.962758
3693029803.0,-694.016558
3693029803.0,-694.016558
3701343361.0,-694.070265
3701343361.0,-694.070265
3709675634.0,-694.123879
3718026664.0,-694.177402
3718026664.0,-694.177402
3726396493.0,-694.230832
3726396493.0,-694.230832
3734785164.0,-694.284171
3743192720.0,-694.337417
3743192720.0,-694.337417
3751619202.0,-694.390572
3751619202.0,-694.390572
3760064653.0,-694.443635
3768529116.0,-694.496606
3768529116.0,-694.496606
3777012634.0,-694.549486
3777012634.0,-694.549486
3785515249.0,-694.602273
3794037005.0,-694.65497
3794037005.0,-694.65497
3802577945.0,-694.707574
3802577945.0,-694.707574
3811138112.0,-694.760088
3811138112.0,-694.760088
3819717549.0,-694.81251
3828316300.0,-694.86484
3828316300.0,-694.86484
3836934408.0,-694.91708
3836934408.0,-694.91708
3845571916.0,-694.969228
3845571916.0,-694.969228
3854228869.0,-695.021285
3862905309.0,-695.073251
3862905309.0,-695.073251
3871601282.0,-695.125126
3871601282.0,-695.125126
3880316831.0,-695.17691
3880316831.0,-695.17691
3889051999.0,-695.228604
3897806832.0,-695.280206
3897806832.0,-695.280206
3906581373.0,-695.331718
3906581373.0,-695.331718
3915375667.0,-695.38314
3915375667.0,-695.38314
3924189758.0,-695.43447
3933023692.0,-695.485711
3933023692.0,-695.485711
3941877511.0,-695.536861
3941877511.0,-695.536861
3950751262.0,-695.58792
3950751262.0,-695.58792
3959644989.0,-695.638889
3968558737.0,-695.689769
3968558737.0,-695.689769
3977492551.0,-695.740558
3977492551.0,-695.740558
3986446477.0,-695.791257
3986446477.0,-695.791257
3995420559.0,-695.841866
3995420559.0,-695.841866
4004414843.0,-695.892385
4013429375.0,-695.942814
4013429375.0,-695.942814
4022464199.0,-695.993154
4022464199.0,-695.993154
4031519363.0,-696.043403
4031519363.0,-696.043403
4040594911.0,-696.093564
4040594911.0,-696.093564
4049690889.0,-696.143635
4049690889.0,-696.143635
4058807344.0,-696.193616
4067944321.0,-696.243508
4067944321.0,-696.243508
4077101867.0,-696.293311
4077101867.0,-696.293311
4086280028.0,-696.343024
4086280028.0,-696.343024
4095478850.0,-696.392649
4095478850.0,-696.392649
4104698380.0,-696.442184
4104698380.0,-696.442184
4113938665.0,-696.491631
4123199751.0,-696.540988
4123199751.0,-696.540988
