Frequency  	Gain       
20814183.31 	-113.213495 
20861039.12 	-113.154716 
20908000.41 	-113.095936 
20955067.42 	-113.037156 
21002240.39 	-112.978375 
21049519.54 	-112.919592 
21096905.13 	-112.860809 
21144397.4  	-112.802025 
21191996.57 	-112.743241 
21239702.9  	-112.684455 
21287516.62 	-112.625669 
21335437.97 	-112.566881 
21383467.21 	-112.508093 
21431604.57 	-112.449304 
21479850.29 	-112.390514 
21528204.61 	-112.331723 
21576667.79 	-112.272931 
21625240.07 	-112.214139 
21673921.7  	-112.155345 
21722712.91 	-112.096551 
21771613.96 	-112.037755 
21820625.09 	-111.978959 
21869746.55 	-111.920162 
21918978.59 	-111.861364 
21968321.46 	-111.802565 
22017775.41 	-111.743765 
22067340.69 	-111.684964 
22117017.55 	-111.626162 
22166806.23 	-111.567359 
22216707    	-111.508555 
22266720.1  	-111.449751 
22316845.79 	-111.390945 
22367084.32 	-111.332139 
22417435.95 	-111.273331 
22467900.92 	-111.214523 
22518479.49 	-111.155713 
22569171.93 	-111.096903 
22619978.48 	-111.038091 
22670899.41 	-110.979279 
22721934.97 	-110.920466 
22773085.41 	-110.861651 
22824351    	-110.802836 
22875732    	-110.744019 
22927228.67 	-110.685202 
22978841.26 	-110.626384 
23030570.04 	-110.567564 
23082415.27 	-110.508744 
23134377.21 	-110.449922 
23186456.12 	-110.3911   
23238652.27 	-110.332276 
23290965.92 	-110.273452 
23343397.34 	-110.214626 
23395946.79 	-110.1558   
23448614.54 	-110.096972 
23501400.85 	-110.038143 
23554305.98 	-109.979314 
23607330.22 	-109.920483 
23660473.82 	-109.861651 
23713737.06 	-109.802818 
23767120.2  	-109.743984 
23820623.51 	-109.685148 
23874247.26 	-109.626312 
23927991.73 	-109.567475 
23981857.19 	-109.508636 
24035843.91 	-109.449797 
24089952.16 	-109.390956 
24144182.21 	-109.332114 
24198534.35 	-109.273271 
24253008.84 	-109.214427 
24307605.96 	-109.155582 
24362325.98 	-109.096736 
24417169.19 	-109.037889 
24472135.86 	-108.97904  
24527226.27 	-108.92019  
24582440.69 	-108.861339 
24637779.41 	-108.802487 
24693242.7  	-108.743634 
24748830.85 	-108.68478  
24804544.14 	-108.625924 
24860382.85 	-108.567067 
24916347.26 	-108.508209 
24972437.65 	-108.44935  
25028654.31 	-108.39049  
25084997.52 	-108.331628 
25141467.57 	-108.272766 
25198064.75 	-108.213902 
25254789.33 	-108.155037 
25311641.6  	-108.09617  
25368621.86 	-108.037303 
25425730.39 	-107.978434 
25482967.48 	-107.919564 
25540333.42 	-107.860692 
25597828.5  	-107.80182  
25655453    	-107.742946 
25713207.23 	-107.684071 
25771091.48 	-107.625194 
25829106.02 	-107.566316 
25887251.17 	-107.507437 
25945527.21 	-107.448557 
26003934.44 	-107.389676 
26062473.16 	-107.330793 
26121143.65 	-107.271909 
26179946.22 	-107.213023 
26238881.16 	-107.154136 
26297948.77 	-107.095248 
26357149.35 	-107.036359 
26416483.2  	-106.977468 
26475950.62 	-106.918576 
26535551.92 	-106.859682 
26595287.38 	-106.800788 
26655157.31 	-106.741891 
26715162.03 	-106.682994 
26775301.82 	-106.624095 
26835576.99 	-106.565195 
26895987.86 	-106.506293 
26956534.71 	-106.44739  
27017217.87 	-106.388485 
27078037.63 	-106.329579 
27138994.31 	-106.270672 
27200088.21 	-106.211763 
27261319.64 	-106.152853 
27322688.92 	-106.093942 
27384196.34 	-106.035029 
27445842.23 	-105.976114 
27507626.89 	-105.917198 
27569550.64 	-105.858281 
27631613.78 	-105.799362 
27693816.64 	-105.740442 
27756159.53 	-105.68152  
27818642.76 	-105.622597 
27881266.65 	-105.563672 
27944031.52 	-105.504746 
28006937.68 	-105.445818 
28069985.45 	-105.386889 
28133175.15 	-105.327958 
28196507.1  	-105.269026 
28259981.62 	-105.210092 
28323599.03 	-105.151157 
28387359.65 	-105.09222  
